TCP,ESTC ,text_name,html_name,serendipFilename,Title,Title 30 Char or fewer,Author,Date,Physical Description,Phys Desc Notes,Derived Date,Publication Place,Publisher,Keywords,Call Number,"Verse, Prose, Mixed ",Helsinki Prototypical Text Category,Non-Helsinki Prototypical,Notes
A45822,R16486,A45822.headed.txt,a45822headed_Docuscope.html,A45822_1681_IterOxonienseorThego,"Iter Oxoniense, or, The going down of the asses to Oxenford",AssesGoingToOxenford,,1681],1/2°,single-sided,1681,[London? :,"s.n.,",Broadsides -- England -- London -- 17th century,,verse,NN,NARR,ballad
A46053,R2596,A46053.headed.txt,a46053headed_Docuscope.html,A46053_1682_IgnoramusjusticeorTh,"Ignoramus-justice, or, The English-law turn'd into gin to let knaves out and keep honest men in an excellent song to the tune of Sir Egledemore.",IgnoramusJusticeASong,,1682,1/2°,single-sided,1682,London :,"Printed for Allen Banks,","Songs, English.",,verse,NI or NN?,NARR,does this refer to an actual trial?
A46231,R8441,A46231.headed.txt,a46231headed_Docuscope.html,A46231_1678_Adescriptionofthenat,A description of the nature of four-footed beasts with their figures en[graven in brass] / written in Latin by Dr. John Johnston ; translated into English by J.P.|Historiae naturalis de quadrupetibus. English,NatureOfFourFootedBeasts,"Jonstonus, Joannes, 1603-1675.|J. P.",1678,2°,,1678,Amsterdam :,"Printed for the widow of John Jacobsen Schipper, and Stephen Swart,",Animal behavior -- Early works to 1800.|Zoology -- Pre-Linnean works.|Natural history -- Pre-Linnean works.,,prose,EX,EX,
A46267,R217089,A46267.headed.txt,a46267headed_Docuscope.html,A46267_1643_PietyandpoesyContrac,"Piety, and poesy. Contracted. By T. J.|Elegiack poems.",PietyAndPoesyElegaicPoems,"Jordan, Thomas, 1612?-1685?",1643,8°,,1643,London :,"printed for Robert Wood,",Jesus Christ -- Early works to 1800.,,verse,IR,INST,
A46587,,A46587.headed.txt,a46587headed_Docuscope.html,A46587_1685_Aproclamationrequiri,"A proclamation requiring all heretors and free-holders, and militia of the Kingdom of Scotland to be in a readiness to come out in their best arms and provided (upon advertisement) for His Majesties service",ProclamationHeretorFreeholder,England and Wales. Sovereign (1685-1688 : James II),1685,1°,single-sided,1685,Edinburgh :|reprinted at London :,"Printed by the heir of Andrew Anderson ... ;|by George Croom ...,","James -- II, -- King of England, -- 1633-1701.|Scotland -- Militia -- Government policy -- Sources.|Broadsides",,prose,STA,STA,
A46607,R213893,A46607.headed.txt,a46607headed_Docuscope.html,A46607_1665_Themerrymansresoluti,"The merry mans resolution or a Lonon [sic] frollick. He goes a wooing yet the matters so, he cares not much whether he speeds or no, cause city wives and wenches are so common he thinks it hard to find an honest woman ben't angry with this fellow I protes",MerryMansResolution,T. J.,[1665],1/2°,single-sided,1665,[London] :,"Printed for J. Williamson at the Bible in Canon street  on London Bridge,","Ballads, English -- 17th century.",,verse,NN,NARR,date should be 1670?; ballad
A46965,R16394,A46965.headed.txt,a46965headed_Docuscope.html,A46965_1700_ThesecondpartofTheco,"The second part of The confutation of the Ballancing letter containing an occasional discourse in vindication of Magna Charta.|Confutation of the balancing letter., Part 2",ConfutationBalancingLetter,"Johnson, Samuel, 1649-1703.|Johnson, Samuel, 1649-1703.",1700,4°,,1700,1700,London :,"Printed for A. Baldwin ...,","Somers, John Somers, -- Baron, -- 1651-1716. -- Letter ballancing the necessity of keeping a land-force in times of peace.|Magna Carta.|Great Britain -- History -- William and Mary, 1689-1702.",prose,NN,ARG,a history in service of a legal argument
A47471,R41039,A47471.headed.txt,a47471headed_Docuscope.html,A47471_1644_TheKingsletterinterc,"The Kings letter intercepted coming from Oxford with a ioyful and true relation of th[e?] great victory obtained by Sir Thomas Fairfax, Sir William Brereton, and Sir VVilliam Fairfax, against the Irish at the raising of the siege at Nantwich on Friday las",KingsLetterOfFairfaxVictory,"Charles 1600-1649.|Fairfax, Thomas Fairfax, 1612-1671.|Fairfax, William, 1609-1644.|Brereton, William, 1604-1661.",[1644],4°,,1644,London :,"Printed by [Andrew Coe],","Great Britain -- History -- Civil War, 1642-1649.",,prose,NN,NARR,
A47830,R216545,A47830.headed.txt,a47830headed_Docuscope.html,A47830_1681_Thecommitteeorpopery,The committee; or popery in masquerade.|Committee|Popery in masquerade.,CommitteePoperyMasquerade,"L'Estrange, Roger, Sir, 1616-1704.",1681,1°,single-sided,1681,London :,"printed by Mary Clark, for Henry Brome, at the Gun in St. Paul's Church-yard,","Dissenters, Religious -- England -- Controversial literature -- Early works to 1800.|Religion and politics -- England -- Early works to 1800.|Lampoon -- Early works to 1800.|Religious satire, English -- 17th century.|Great Britain -- History -- Restoration, 1660-1688 -- Humor -- Early works to 1800.",,verse,,DESC?,"hybrid, doesn't fit any of the categories: a satirical verse touching religious and political matters, describing the attached image, sometimes in narrative terms"
A47841,R22106,A47841.headed.txt,a47841headed_Docuscope.html,A47841_1674_Adiscourseofthefishe,"A discourse of the fishery briefly laying open, not only the advantages, and facility of the undertaking, but likewise the absolute necessity of it, in order to the well-being, both of king, and people : asserted, and vindicated from all materiall objecti",DiscourseOfFishery,"L'Estrange, Roger, Sir, 1616-1704.",1674,4°,,1674,London :,"Printed for Henry Brome ...,",Fisheries -- England.|Herring fisheries.,,prose,EX?,ARG,could also be IS
