TCP,ESTC
A02050,S117979
A02053,S105779
A02054,S100418
A02057,S103403
A02058,S120400
A02059,S105839
A02060,S106703
A02062,S2985
A02063,S2987
A02065,S117982
A02070,S105826
A02072,S103404
A02073,S105886
A02074,S105892
A02077,S105829
A02079,S105894
A02080,S105897
A02087,S100533
A02091,S105900
A02092,S105909
A02093,S113894
A02096,S105910
A02099,S105962
A02101,S118490
A02103,S117579
A02110,S118388
A02111,S105832
A02117,S103409
A02119,S115817
A02120,S103410
A02121,S105824
A02122,S105817
A02124,S105823
A02125,S105966
A02127,S105968
A02128,S103422
A02129,S119748
A02131,S105831
A02132,S2695
A02133,S105808
A02135,S103412
A02136,S105814
A02138,S105813
A02139,S113582
A02140,S105834
A02141,S105835
A02143,S108586
A02148,S100559
A02151,S103413
A02152,S103424
A02153,S105812
A02154,S105870
A02157,S105841
A02159,S105869
A02160,S105865
A02166,S119749
A02167,S105811
A02168,S105810
A02170,S100560
A02171,S105848
A02172,S105809
A02178,S120843
A02180,S117895
A02181,S103418
A02182,S120335
A02183,S116702
A02184,S115658
A02186,S115797
A02187,S100534
A02189,S118959
A02190,S119046
A02191,S119047
A02192,S120478
A02194,S119048
A02198,S103420
A02199,S103421
A02200,S118462
A02201,S105774
A02203,S4328
A02208,S121026
A02216,S105874
A02218,S105875
A02219,S103429
A02223,S118555
A02225,S118299
A02226,S120837
A02227,S103431
A02229,S115661
A02230,S104847
A02233,S100539
A02235,S2697
A02237,S106731
A02239,S120800
A02242,S103449
A02248,S109550
A02250,S118969
A02251,S118558
A02253,S107510
A02254,S103461
A02255,S105876
A02256,S2698
A02257,S118562
A02259,S117896
A02260,S103450
A02262,S4330
A02265,S100419
A02266,S100541
A02267,S122528
A02270,S4686
A02272,S114991
A02273,S105883
A02274,S117581
A02275,S119059
A02277,S118970
A02281,S112449
A02284,S103502
A02288,S2699
A02291,S105850
A02293,S115663
A02294,S103534
A02296,S120709
A02298,S104470
A02299,S120712
A02300,S109583
A02303,S103483
A02306,S117270
A02315,S103507
A02319,S103510
A02320,S103512
A02322,S103515
A02324,S103517
A02325,S119063
A02327,S118958
A02329,S120755
A02331,S121324
A02333,S118301
A02334,S103518
A02335,S103522
A02336,S105885
A02339,S118647
A02340,S105904
A02342,S104522
A02347,S103536
A02349,S118648
A02351,S119064
A02352,S118973
A02353,S103525
A02358,S117899
A02359,S103528
A02360,S103544
A02361,S103559
A02362,S103545
A02364,S122176
A02366,S114998
A02367,S100425
A02375,S120871
A02376,S103547
A02379,S111301
A02381,S109903
A02389,S100555
A02396,S103556
A02398,S120940
A02399,S100585
A02400,S121205
A02401,S105908
A02402,S2702
A02403,S118985
A02404,S119066
A02405,S103558
A02406,S119067
A02407,S103561
A02408,S103562
A02409,S103571
A02413,S117717
A02414,S103587
A02415,S117903
A02421,S105999
A02422,S103590
A02423,S103593
A02424,S112454
A02426,S112457
A02427,S3086
A02428,S103604
A02430,S118418
A02432,S109663
A02435,S118987
A02436,S103574
A02438,S103576
A02440,S103588
A02441,S106016
A02442,S115004
A02443,S112462
A02444,S117905
A02445,S103591
A02447,S103592
A02448,S120167
A02453,S103611
A02454,S120588
