TCP,text_name,component0,component1
A00650,A00650.headed.txt,-2.044351179,1.064061913
A00652,A00652.headed.txt,1.22633478,-2.283978254
A00658,A00658.headed.txt,0.998568789,1.013343294
A00659,A00659.headed.txt,-0.09331444,1.903314442
A00662,A00662.headed.txt,-0.720086711,2.049187149
A00663,A00663.headed.txt,-3.144468756,2.162234364
A00664,A00664.headed.txt,2.262547537,0.414035448
A00665,A00665.headed.txt,-1.095070404,1.01989134
A00667,A00667.headed.txt,0.459625477,1.115207312
A00668,A00668.headed.txt,2.021209016,0.564201604
A00669,A00669.headed.txt,0.316554262,1.075555839
A00670,A00670.headed.txt,0.123988841,0.036856993
A00671,A00671.headed.txt,0.761785835,0.123019136
A00673,A00673.headed.txt,2.717658203,2.000453801
A00675,A00675.headed.txt,4.26359993,0.28106788
A00678,A00678.headed.txt,1.681687854,-0.570679524
A00679,A00679.headed.txt,1.307304074,-2.867205051
A00680,A00680.headed.txt,2.487011216,0.386750289
A00682,A00682.headed.txt,0.323641139,-1.152140099
A00683,A00683.headed.txt,-1.410083741,-0.584612417
A00685,A00685.headed.txt,0.726894461,0.379814163
A00686,A00686.headed.txt,-0.592162908,2.557256755
A00687,A00687.headed.txt,0.537287089,0.172566343
A00688,A00688.headed.txt,-2.0263427,-0.196895966
A00689,A00689.headed.txt,-4.708339863,-3.409076416
A00692,A00692.headed.txt,-1.638608762,1.033394045
A00693,A00693.headed.txt,-3.80641846,1.345270336
A00694,A00694.headed.txt,-2.70099625,-2.209410828
A00695,A00695.headed.txt,-1.912049805,-0.544174758
A00698,A00698.headed.txt,0.673661898,1.066242246
A00699,A00699.headed.txt,-1.797234073,-0.001452651
A00700,A00700.headed.txt,-1.402630115,-2.11151039
A00702,A00702.headed.txt,-1.898922327,0.409830441
A00703,A00703.headed.txt,-1.300894657,2.184259051
A00705,A00705.headed.txt,-3.602976172,2.084222202
A00706,A00706.headed.txt,-3.055363847,-4.572848894
A00709,A00709.headed.txt,-2.997102386,-0.203851013
A00710,A00710.headed.txt,-0.443001626,0.481040476
A00712,A00712.headed.txt,2.449994479,-0.61756255
A00714,A00714.headed.txt,0.196323246,-0.046316762
A00718,A00718.headed.txt,1.896321849,-0.388799168
A00721,A00721.headed.txt,0.608311878,-0.066965523
A00723,A00723.headed.txt,-3.868882039,2.433319436
A00725,A00725.headed.txt,-3.992649722,1.530355253
A00726,A00726.headed.txt,1.718676398,0.979768529
A00728,A00728.headed.txt,2.593878352,-0.107560028
A00730,A00730.headed.txt,-0.341428441,1.199532478
A00731,A00731.headed.txt,1.087723508,-0.458223173
A00733,A00733.headed.txt,-1.794459326,-0.705765487
A00734,A00734.headed.txt,-0.849266581,1.97523998
A00737,A00737.headed.txt,1.937485356,2.424068007
A00738,A00738.headed.txt,-3.62272318,-1.588992289
A00741,A00741.headed.txt,1.833313938,-4.137427076
A00742,A00742.headed.txt,1.603669236,-6.565969973
A00746,A00746.headed.txt,-0.109356627,-2.569675097
A00747,A00747.headed.txt,6.852987481,-0.725223951
A00748,A00748.headed.txt,2.194523772,0.859358617
A00749,A00749.headed.txt,-2.9961136,-0.558378519
A00750,A00750.headed.txt,-0.761739211,-3.213388179
A00753,A00753.headed.txt,-0.069960544,-0.146209419
A00755,A00755.headed.txt,-3.15113626,-1.265655393
A00756,A00756.headed.txt,-3.060749805,-1.631511728
A00758,A00758.headed.txt,0.391142471,0.994000902
A00759,A00759.headed.txt,0.955232431,-1.056778828
A00760,A00760.headed.txt,-4.73949021,-0.091173471
A00761,A00761.headed.txt,1.566193098,-0.814330951
A00762,A00762.headed.txt,1.86923012,2.629528361
A00765,A00765.headed.txt,0.800965806,2.430045519
A00766,A00766.headed.txt,0.01765757,1.597591969
A00769,A00769.headed.txt,1.952094338,0.831655714
A00771,A00771.headed.txt,0.869554233,1.26921063
A00776,A00776.headed.txt,-1.873993083,2.289012892
A00777,A00777.headed.txt,-3.005712754,0.377286398
A00778,A00778.headed.txt,0.999641983,1.585294787
A00779,A00779.headed.txt,0.840969408,1.290473204
