ngram,corpus frequency,document frequency,rank in corpus
lordship,108,23,418
heir,108,30,418
deeds,108,31,418
damned,108,29,418
besides,108,31,418
twere,107,31,419
issue,107,30,419
teach,106,32,420
tale,106,29,420
loving,106,31,420
kate,106,7,420
bears,106,33,420
offence,105,32,421
m,105,12,421
hair,105,30,421
close,105,33,421
grant,104,31,422
children,104,30,422
buy,104,33,422
throw,103,31,423
longer,103,32,423
hide,103,32,423
feel,103,34,423
case,103,33,423
promise,102,34,424
passion,102,30,424
ore,102,25,424
heads,102,32,424
force,102,32,424
dangerous,102,30,424
claudio,102,4,424
chance,102,32,424
whilst,101,30,425
weak,101,32,425
pluck,101,34,425
choose,101,32,425
went,100,31,426
toward,100,31,426
presence,100,33,426
parts,100,31,426
honours,100,30,426
health,100,29,426
curse,100,27,426
chamber,100,24,426
turned,99,32,427
shake,99,34,427
plain,99,32,427
lack,99,28,427
deliver,99,32,427
quick,98,33,428
fashion,98,28,428
bless,98,32,428
adieu,98,28,428
respect,97,31,429
looked,97,31,429
beg,97,30,429
understand,96,31,430
subject,96,29,430
move,96,32,430
going,96,28,430
feast,96,30,430
danger,96,29,430
worst,95,31,431
title,95,27,431
quarrel,95,29,431
pride,95,28,431
clarence,95,6,431
behind,95,34,431
writ,94,29,432
scorn,94,27,432
kept,94,31,432
fine,94,28,432
faults,94,27,432
cast,94,33,432
battle,94,21,432
won,93,30,433
second,93,33,433
mortal,93,31,433
form,93,28,433
worship,92,26,434
virtuous,92,30,434
valour,92,28,434
shallow,92,20,434
march,92,20,434
humour,92,23,434
foolish,92,33,434
dinner,92,23,434
consent,92,28,434
angry,92,30,434
wisdom,91,30,435
vain,91,28,435
thither,91,33,435
stop,91,35,435
stood,91,30,435
receive,91,29,435
harry,91,8,435
earl,91,14,435
among,91,30,435
where's,90,28,436
try,90,34,436
sorry,90,31,436
plague,90,25,436
pains,90,30,436
measure,90,30,436
jest,90,24,436
hoa,90,24,436
harm,90,30,436
forget,90,32,436
too't,89,22,437
shows,89,31,437
judge,89,26,437
ho,89,19,437
ass,89,26,437
troth,88,24,438
perceive,88,33,438
noise,88,30,438
mothers,88,29,438
hearing,88,30,438
gates,88,23,438
fled,88,27,438
commend,88,32,438
alive,88,29,438
troylus,87,3,439
treason,87,26,439
piece,87,31,439
lend,87,30,439
laid,87,28,439
hurt,87,25,439
guard,87,25,439
fearful,87,31,439
short,86,31,440
ours,86,30,440
order,86,29,440
offer,86,30,440
learn,86,31,440
labour,86,32,440
kingdom,86,20,440
honesty,86,26,440
small,85,29,441
patient,85,32,441
ought,85,33,441
forgot,85,33,441
brief,85,28,441
breast,85,29,441
boys,85,30,441
beard,85,30,441
wives,84,24,442
mock,84,27,442
madame,84,19,442
laugh,84,31,442
quite,83,31,443
lived,83,30,443
golden,83,31,443
gate,83,32,443
dull,83,31,443
double,83,31,443
book,83,33,443
blow,83,31,443
year,82,31,444
wits,82,25,444
suite,82,27,444
opinion,82,31,444
match,82,30,444
haste,82,32,444
enter,82,31,444
emperor,82,14,444
coward,82,29,444
carry,82,27,444
broke,82,31,444
ancient,82,24,444
silence,81,28,445
safe,81,25,445
pompey,81,6,445
men's,81,28,445
greater,81,32,445
whereof,80,29,446
suffer,80,34,446
sudden,80,29,446
stir,80,33,446
smile,80,31,446
prison,80,27,446
martius,80,1,446
held,80,34,446
cardinal,80,5,446
blame,80,26,446
birth,80,29,446
amen,80,27,446
troy,79,11,447
lucius,79,6,447
learned,79,28,447
green,79,25,447
fresh,79,30,447
feed,79,29,447
wine,78,25,448
weary,78,32,448
thence,78,25,448
shape,78,33,448
paris,78,9,448
hamlet,78,1,448
glory,78,24,448
folly,78,24,448
